Date,Name,Type,Namespace,Duration,QPS,Connections,P50_Consul-HTTP,P75_Consul-HTTP,P90_Consul-HTTP,P99_Consul-HTTP,P99.9_Consul-HTTP,Errors,Streams,Destination
0523-083514,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,32,0.008791666666666668,0.09422872340425532,0.09841914893617022,0.17222627037157895,0.191681429637158,0,1,fortio-server-defaults-grpc:8079
05092023-083520,Consul-HTTP,HTTP,fortio-consul-150,2s,1000,2,0.0010678631051752921,0.0011264240506329115,0.0012823728813559322,0.07654122824194444,0.07861265812419445,0,null,http://fortio-server-defaults:8080/echo
05092023-083525,Consul-HTTP,HTTP,fortio-consul-150,2s,1000,4,0.0017110687022900764,0.0019145238095238098,0.0024508620689655176,0.08434752157305556,0.08494009995730556,0,null,http://fortio-server-defaults:8080/echo
05092023-083530,Consul-HTTP,HTTP,fortio-consul-150,2s,1000,8,0.002923575129533679,0.0771875,0.09267864575695364,0.09434432547569536,0.09451089344756954,0,null,http://fortio-server-defaults:8080/echo
05092023-083534,Consul-HTTP,HTTP,fortio-consul-150,2s,1000,16,0.006921052631578948,0.09479707792207794,0.09813311688311689,0.13415270455909067,0.1848879873559094,0,null,http://fortio-server-defaults:8080/echo
05092023-083539,Consul-HTTP,HTTP,fortio-consul-150,2s,1000,32,0.09784518828451884,0.1405643269850352,0.1756851829940141,0.1967576965994014,0.19886494795994017,0,null,http://fortio-server-defaults:8080/echo
05092023-083544,Consul-GRPC,GRPC Ping,fortio-consul-150,2s,1000,2,0.0009558415841584159,0.0009927722772277228,0.0010819565217391304,0.06702666666666668,0.080008617458,0,1,fortio-server-defaults-grpc:8079
05092023-083549,Consul-GRPC,GRPC Ping,fortio-consul-150,2s,1000,4,0.0014314789687924017,0.0015493894165535958,0.0017279310344827587,0.07628333333333334,0.08022656587850002,0,1,fortio-server-defaults-grpc:8079
05092023-083554,Consul-GRPC,GRPC Ping,fortio-consul-150,2s,1000,8,0.0022730994152046786,0.002419298245614035,0.0025612244897959186,0.0032000000000000028,0.006480503333333345,0,1,fortio-server-defaults-grpc:8079
05092023-083559,Consul-GRPC,GRPC Ping,fortio-consul-150,2s,1000,16,0.003917924528301887,0.004255485893416928,0.004490595611285267,0.004988372093023255,0.005252262500000002,0,1,fortio-server-defaults-grpc:8079
05092023-083604,Consul-GRPC,GRPC Ping,fortio-consul-150,2s,1000,32,0.00746697247706422,0.007922018348623853,0.008634626865671643,0.012330730012413797,0.012975436901241384,0,1,fortio-server-defaults-grpc:8079
05092023-083609,Consul-HTTP,HTTP,fortio-consul-logs,2s,1000,2,0.0009435064935064936,0.0010476377952755905,0.0012000000000000001,0.0878927749175,0.08912182579175,0,null,http://fortio-server-defaults:8080/echo
05092023-083614,Consul-HTTP,HTTP,fortio-consul-logs,2s,1000,4,0.0018245989304812836,0.0020331325301204822,0.08128125,0.09046614426,0.09101105082600001,0,null,http://fortio-server-defaults:8080/echo
05092023-083619,Consul-HTTP,HTTP,fortio-consul-logs,2s,1000,8,0.002668103448275862,0.00374342105263158,0.09297092550347223,0.09535664505034723,0.09559521700503473,0,null,http://fortio-server-defaults:8080/echo
05092023-083624,Consul-HTTP,HTTP,fortio-consul-logs,2s,1000,16,0.027187500000000003,0.09495777027027028,0.0983277027027027,0.10190967728235295,0.1030139689282353,0,null,http://fortio-server-defaults:8080/echo
05092023-083629,Consul-HTTP,HTTP,fortio-consul-logs,2s,1000,32,0.09713754646840149,0.13605969675090251,0.17435509470036104,0.1973323334700361,0.19963005734700362,0,null,http://fortio-server-defaults:8080/echo
05092023-083634,Consul-GRPC,GRPC Ping,fortio-consul-logs,2s,1000,2,0.000963824419778002,0.0010072448979591838,0.0010993877551020409,0.06616176470588235,0.0715033981600002,0,1,fortio-server-defaults-grpc:8079
05092023-083639,Consul-GRPC,GRPC Ping,fortio-consul-logs,2s,1000,4,0.001375977653631285,0.0015525974025974026,0.0018415789473684215,0.084957866309375,0.08605276463093751,0,1,fortio-server-defaults-grpc:8079
05092023-083644,Consul-GRPC,GRPC Ping,fortio-consul-logs,2s,1000,8,0.0020586021505376345,0.002453494623655914,0.04318749999999997,0.08651970337169118,0.08723025483716912,0,1,fortio-server-defaults-grpc:8079
05092023-083649,Consul-GRPC,GRPC Ping,fortio-consul-logs,2s,1000,16,0.003554864253393665,0.00427116935483871,0.04770000000000005,0.08928557692307694,0.09362402842954551,0,1,fortio-server-defaults-grpc:8079
05092023-083654,Consul-GRPC,GRPC Ping,fortio-consul-logs,2s,1000,32,0.006436305732484077,0.04445652173913042,0.07707142857142858,0.09321840012666667,0.09430793191266668,0,1,fortio-server-defaults-grpc:8079
05092023-083659,Consul-GRPC,GRPC Ping,fortio-consul-logs,2s,1000,64,0.01115400410677618,0.013384248210023866,0.03518852459016394,0.06351111111111106,0.07127152196228573,0,1,fortio-server-defaults-grpc:8079
